rank,candidate_id,score,reason
1,CAND_0018499,96.33,Moderate alignment with Senior AI Engineer requirements. 7.2 years of experience. Open to work. Good recruiter response rate. Shows engineering activity through GitHub.
2,CAND_0008239,95.52,Moderate alignment with Senior AI Engineer requirements. Open to work. Good recruiter response rate. Shows engineering activity through GitHub.
3,CAND_0062247,95.04,Moderate alignment with Senior AI Engineer requirements. 7.3 years of experience. Open to work. Good recruiter response rate. Shows engineering activity through GitHub.
4,CAND_0039754,93.84,Limited alignment with Senior AI Engineer requirements. 16.2 years of experience. Open to work. Good recruiter response rate. Shows engineering activity through GitHub.
5,CAND_0086022,93.63,Limited alignment with Senior AI Engineer requirements. 5.3 years of experience. Open to work. Good recruiter response rate. Shows engineering activity through GitHub.
6,CAND_0041610,92.18,Limited alignment with Senior AI Engineer requirements. 6.7 years of experience. Open to work. Good recruiter response rate. Shows engineering activity through GitHub.
7,CAND_0066999,91.9,Limited alignment with Senior AI Engineer requirements. 5.9 years of experience. Open to work. Good recruiter response rate. Shows engineering activity through GitHub.
8,CAND_0099806,91.71,Limited alignment with Senior AI Engineer requirements. Open to work. Good recruiter response rate. Shows engineering activity through GitHub.
9,CAND_0010867,91.58,Limited alignment with Senior AI Engineer requirements. Open to work. Good recruiter response rate. Shows engineering activity through GitHub.
10,CAND_0024430,90.69,Limited alignment with Senior AI Engineer requirements. Open to work. Good recruiter response rate. Shows engineering activity through GitHub.
11,CAND_0050039,90.07,Limited alignment with Senior AI Engineer requirements. Open to work. Good recruiter response rate. Shows engineering activity through GitHub.
12,CAND_0037566,89.91,Limited alignment with Senior AI Engineer requirements. 6.9 years of experience. Open to work. Good recruiter response rate. Shows engineering activity through GitHub.
13,CAND_0081846,89.75,Moderate alignment with Senior AI Engineer requirements. 6.7 years of experience. Open to work. Good recruiter response rate. Shows engineering activity through GitHub.
14,CAND_0071640,89.73,Limited alignment with Senior AI Engineer requirements. Open to work. Good recruiter response rate. Shows engineering activity through GitHub.
15,CAND_0068932,89.17,Limited alignment with Senior AI Engineer requirements. 5.2 years of experience. Open to work. Good recruiter response rate. Shows engineering activity through GitHub.
16,CAND_0052195,88.88,Limited alignment with Senior AI Engineer requirements. 6.3 years of experience. Open to work. Good recruiter response rate. Shows engineering activity through GitHub.
17,CAND_0002025,88.23,Moderate alignment with Senior AI Engineer requirements. 5.9 years of experience. Open to work. Good recruiter response rate. Shows engineering activity through GitHub.
18,CAND_0045146,88.04,Limited alignment with Senior AI Engineer requirements. Open to work. Good recruiter response rate. Shows engineering activity through GitHub.
19,CAND_0075826,87.77,Limited alignment with Senior AI Engineer requirements. 5.7 years of experience. Open to work. Good recruiter response rate. Shows engineering activity through GitHub.
20,CAND_0065333,87.64,Limited alignment with Senior AI Engineer requirements. Open to work. Good recruiter response rate. Shows engineering activity through GitHub.
21,CAND_0070152,87.54,Limited alignment with Senior AI Engineer requirements. 8.6 years of experience. Open to work. Good recruiter response rate. Shows engineering activity through GitHub.
22,CAND_0050553,87.41,Limited alignment with Senior AI Engineer requirements. Open to work. Good recruiter response rate. Shows engineering activity through GitHub.
23,CAND_0052328,86.49,Moderate alignment with Senior AI Engineer requirements. 6.5 years of experience. Open to work. Good recruiter response rate. Shows engineering activity through GitHub.
24,CAND_0017093,86.34,Limited alignment with Senior AI Engineer requirements. 5.9 years of experience. Open to work. Good recruiter response rate. Shows engineering activity through GitHub.
25,CAND_0018549,86.15,Moderate alignment with Senior AI Engineer requirements. 6.8 years of experience. Open to work. Good recruiter response rate. Shows engineering activity through GitHub.
26,CAND_0020708,86.03,Moderate alignment with Senior AI Engineer requirements. Open to work. Good recruiter response rate. Shows engineering activity through GitHub.
27,CAND_0078492,85.91,Limited alignment with Senior AI Engineer requirements. 5.1 years of experience. Open to work. Good recruiter response rate. Shows engineering activity through GitHub.
28,CAND_0009307,85.85,Limited alignment with Senior AI Engineer requirements. Open to work. Good recruiter response rate. Shows engineering activity through GitHub.
29,CAND_0012038,85.85,Limited alignment with Senior AI Engineer requirements. 6.5 years of experience. Open to work. Good recruiter response rate. Shows engineering activity through GitHub.
30,CAND_0026942,85.84,Limited alignment with Senior AI Engineer requirements. 6.0 years of experience. Open to work. Good recruiter response rate. Shows engineering activity through GitHub.
31,CAND_0040410,85.76,Limited alignment with Senior AI Engineer requirements. 8.6 years of experience. Open to work. Good recruiter response rate. Shows engineering activity through GitHub.
32,CAND_0043676,85.74,Limited alignment with Senior AI Engineer requirements. 6.1 years of experience. Open to work. Good recruiter response rate. Shows engineering activity through GitHub.
33,CAND_0014439,85.68,Limited alignment with Senior AI Engineer requirements. Open to work. Good recruiter response rate. Shows engineering activity through GitHub.
34,CAND_0043322,85.36,Limited alignment with Senior AI Engineer requirements. 8.9 years of experience. Open to work. Good recruiter response rate. Shows engineering activity through GitHub.
35,CAND_0013440,85.19,Limited alignment with Senior AI Engineer requirements. 7.2 years of experience. Open to work. Good recruiter response rate. Shows engineering activity through GitHub.
36,CAND_0053695,84.78,Limited alignment with Senior AI Engineer requirements. 5.8 years of experience. Open to work. Good recruiter response rate. Shows engineering activity through GitHub.
37,CAND_0011925,84.75,Limited alignment with Senior AI Engineer requirements. 5.0 years of experience. Open to work. Good recruiter response rate. Shows engineering activity through GitHub.
38,CAND_0063948,84.73,Limited alignment with Senior AI Engineer requirements. Open to work. Good recruiter response rate. Shows engineering activity through GitHub.
39,CAND_0055951,84.1,Limited alignment with Senior AI Engineer requirements. 7.2 years of experience. Open to work. Good recruiter response rate. Shows engineering activity through GitHub.
40,CAND_0037980,83.85,Limited alignment with Senior AI Engineer requirements. 9.0 years of experience. Open to work. Good recruiter response rate. Shows engineering activity through GitHub.
41,CAND_0058688,83.38,Limited alignment with Senior AI Engineer requirements. 6.7 years of experience. Open to work. Good recruiter response rate. Shows engineering activity through GitHub.
42,CAND_0027691,83.32,Limited alignment with Senior AI Engineer requirements. 6.5 years of experience. Open to work. Good recruiter response rate. Shows engineering activity through GitHub.
43,CAND_0061614,83.21,Limited alignment with Senior AI Engineer requirements. 8.2 years of experience. Open to work. Good recruiter response rate. Shows engineering activity through GitHub.
44,CAND_0007009,83.15,Limited alignment with Senior AI Engineer requirements. 7.9 years of experience. Open to work. Good recruiter response rate. Shows engineering activity through GitHub.
45,CAND_0059230,82.89,Limited alignment with Senior AI Engineer requirements. 6.2 years of experience. Open to work. Good recruiter response rate. Shows engineering activity through GitHub.
46,CAND_0042404,82.82,Limited alignment with Senior AI Engineer requirements. Open to work. Good recruiter response rate. Shows engineering activity through GitHub.
47,CAND_0017960,82.72,Limited alignment with Senior AI Engineer requirements. 7.7 years of experience. Open to work. Good recruiter response rate. Shows engineering activity through GitHub.
48,CAND_0046064,82.64,Limited alignment with Senior AI Engineer requirements. 8.9 years of experience. Open to work. Good recruiter response rate. Shows engineering activity through GitHub.
49,CAND_0093912,82.48,Limited alignment with Senior AI Engineer requirements. 5.3 years of experience. Open to work. Good recruiter response rate. Shows engineering activity through GitHub.
50,CAND_0069638,82.21,Limited alignment with Senior AI Engineer requirements. 6.2 years of experience. Open to work. Good recruiter response rate. Shows engineering activity through GitHub.
51,CAND_0085157,82.03,Limited alignment with Senior AI Engineer requirements. 7.9 years of experience. Open to work. Good recruiter response rate. Shows engineering activity through GitHub.
52,CAND_0079387,81.73,Limited alignment with Senior AI Engineer requirements. 6.9 years of experience. Open to work. Good recruiter response rate. Shows engineering activity through GitHub.
53,CAND_0097705,81.65,Limited alignment with Senior AI Engineer requirements. Open to work. Good recruiter response rate. Shows engineering activity through GitHub.
54,CAND_0011687,81.57,Limited alignment with Senior AI Engineer requirements. 7.8 years of experience. Open to work. Good recruiter response rate. Shows engineering activity through GitHub.
55,CAND_0077337,81.49,Limited alignment with Senior AI Engineer requirements. 7.0 years of experience. Open to work. Good recruiter response rate. Shows engineering activity through GitHub.
56,CAND_0090153,81.44,Limited alignment with Senior AI Engineer requirements. Open to work. Good recruiter response rate. Shows engineering activity through GitHub.
57,CAND_0006418,81.28,Limited alignment with Senior AI Engineer requirements. 5.7 years of experience. Open to work. Good recruiter response rate. Shows engineering activity through GitHub.
58,CAND_0055992,81.2,Limited alignment with Senior AI Engineer requirements. 16.9 years of experience. Open to work. Good recruiter response rate. Shows engineering activity through GitHub.
59,CAND_0052682,80.9,Limited alignment with Senior AI Engineer requirements. 6.6 years of experience. Open to work. Good recruiter response rate. Shows engineering activity through GitHub.
60,CAND_0064858,80.89,Limited alignment with Senior AI Engineer requirements. Open to work. Good recruiter response rate. Shows engineering activity through GitHub.
61,CAND_0014292,80.81,Limited alignment with Senior AI Engineer requirements. Open to work. Good recruiter response rate. Shows engineering activity through GitHub.
62,CAND_0093256,80.81,Limited alignment with Senior AI Engineer requirements. Open to work. Good recruiter response rate. Shows engineering activity through GitHub.
63,CAND_0002916,80.73,Limited alignment with Senior AI Engineer requirements. Open to work. Good recruiter response rate. Shows engineering activity through GitHub.
64,CAND_0098227,80.64,Limited alignment with Senior AI Engineer requirements. 5.0 years of experience. Open to work. Good recruiter response rate. Shows engineering activity through GitHub.
65,CAND_0060508,80.62,Limited alignment with Senior AI Engineer requirements. Open to work. Good recruiter response rate. Shows engineering activity through GitHub.
66,CAND_0005509,80.53,Limited alignment with Senior AI Engineer requirements. 6.0 years of experience. Open to work. Good recruiter response rate. Shows engineering activity through GitHub.
67,CAND_0080534,80.3,Limited alignment with Senior AI Engineer requirements. Open to work. Good recruiter response rate. Shows engineering activity through GitHub.
68,CAND_0016553,80.27,Limited alignment with Senior AI Engineer requirements. 8.3 years of experience. Open to work. Good recruiter response rate. Shows engineering activity through GitHub.
69,CAND_0046698,80.24,Limited alignment with Senior AI Engineer requirements. 7.0 years of experience. Open to work. Good recruiter response rate. Shows engineering activity through GitHub.
70,CAND_0047359,80.23,Limited alignment with Senior AI Engineer requirements. Open to work. Good recruiter response rate. Shows engineering activity through GitHub.
71,CAND_0087744,80.2,Limited alignment with Senior AI Engineer requirements. Open to work. Good recruiter response rate. Shows engineering activity through GitHub.
72,CAND_0002667,80.13,Limited alignment with Senior AI Engineer requirements. 5.7 years of experience. Open to work. Good recruiter response rate. Shows engineering activity through GitHub.
73,CAND_0051292,80.0,Limited alignment with Senior AI Engineer requirements. 5.2 years of experience. Open to work. Good recruiter response rate. Shows engineering activity through GitHub.
74,CAND_0053437,79.99,Limited alignment with Senior AI Engineer requirements. Open to work. Good recruiter response rate. Shows engineering activity through GitHub.
75,CAND_0057798,79.98,Limited alignment with Senior AI Engineer requirements. Open to work. Good recruiter response rate. Shows engineering activity through GitHub.
76,CAND_0083578,79.67,Limited alignment with Senior AI Engineer requirements. 7.8 years of experience. Open to work. Good recruiter response rate. Shows engineering activity through GitHub.
77,CAND_0080577,79.59,Limited alignment with Senior AI Engineer requirements. 5.4 years of experience. Open to work. Good recruiter response rate. Shows engineering activity through GitHub.
78,CAND_0034177,79.51,Limited alignment with Senior AI Engineer requirements. Open to work. Good recruiter response rate. Shows engineering activity through GitHub.
79,CAND_0098846,79.32,Limited alignment with Senior AI Engineer requirements. 7.6 years of experience. Open to work. Good recruiter response rate. Shows engineering activity through GitHub.
80,CAND_0012397,79.3,Limited alignment with Senior AI Engineer requirements. 9.5 years of experience. Open to work. Good recruiter response rate. Shows engineering activity through GitHub.
81,CAND_0017667,79.2,Limited alignment with Senior AI Engineer requirements. 5.8 years of experience. Open to work. Good recruiter response rate. Shows engineering activity through GitHub.
82,CAND_0074342,79.11,Limited alignment with Senior AI Engineer requirements. 5.7 years of experience. Open to work. Good recruiter response rate. Shows engineering activity through GitHub.
83,CAND_0095757,79.08,Limited alignment with Senior AI Engineer requirements. 7.4 years of experience. Open to work. Good recruiter response rate. Shows engineering activity through GitHub.
84,CAND_0057166,79.05,Limited alignment with Senior AI Engineer requirements. Open to work. Good recruiter response rate. Shows engineering activity through GitHub.
85,CAND_0061257,78.92,Moderate alignment with Senior AI Engineer requirements. 8.0 years of experience. Open to work. Good recruiter response rate. Shows engineering activity through GitHub.
86,CAND_0003724,78.86,Limited alignment with Senior AI Engineer requirements. 7.6 years of experience. Open to work. Good recruiter response rate. Shows engineering activity through GitHub.
87,CAND_0098864,78.84,Limited alignment with Senior AI Engineer requirements. Open to work. Good recruiter response rate. Shows engineering activity through GitHub.
88,CAND_0083481,78.72,Limited alignment with Senior AI Engineer requirements. 8.2 years of experience. Open to work. Good recruiter response rate. Shows engineering activity through GitHub.
89,CAND_0036901,78.63,Limited alignment with Senior AI Engineer requirements. Open to work. Good recruiter response rate. Shows engineering activity through GitHub.
90,CAND_0051831,78.58,Limited alignment with Senior AI Engineer requirements. 5.9 years of experience. Open to work. Good recruiter response rate. Shows engineering activity through GitHub.
91,CAND_0002285,78.45,Limited alignment with Senior AI Engineer requirements. 6.5 years of experience. Open to work. Good recruiter response rate. Shows engineering activity through GitHub.
92,CAND_0059795,78.4,Limited alignment with Senior AI Engineer requirements. 5.6 years of experience. Open to work. Good recruiter response rate. Shows engineering activity through GitHub.
93,CAND_0088187,78.4,Limited alignment with Senior AI Engineer requirements. Open to work. Good recruiter response rate. Shows engineering activity through GitHub.
94,CAND_0041594,78.29,Limited alignment with Senior AI Engineer requirements. Open to work. Good recruiter response rate. Shows engineering activity through GitHub.
95,CAND_0046525,78.27,Moderate alignment with Senior AI Engineer requirements. 6.1 years of experience. Open to work. Good recruiter response rate. Shows engineering activity through GitHub.
96,CAND_0040774,78.24,Limited alignment with Senior AI Engineer requirements. 10.0 years of experience. Open to work. Good recruiter response rate. Shows engineering activity through GitHub.
97,CAND_0071205,78.2,Limited alignment with Senior AI Engineer requirements. Open to work. Good recruiter response rate. Shows engineering activity through GitHub.
98,CAND_0019175,78.19,Limited alignment with Senior AI Engineer requirements. 11.7 years of experience. Open to work. Good recruiter response rate. Shows engineering activity through GitHub.
99,CAND_0039956,78.19,Limited alignment with Senior AI Engineer requirements. Open to work. Good recruiter response rate. Shows engineering activity through GitHub.
100,CAND_0062665,78.16,Limited alignment with Senior AI Engineer requirements. Open to work. Good recruiter response rate. Shows engineering activity through GitHub.
